,emotion,selection0,selection1,label
6396,"['sad', 'relaxed', 'drunk', 'giggly', 'boisterous', 'happiness']",Chris and Doug got drunk at the bar.,Everyone waited quietly for Beth to enter.,0
6397,"['happy', 'loyal', 'pride']",He had a passion to change his country for better.,Martin walked to the porch and sat on the old swing.,0
6398,"['relaxed', 'happy', 'lonely', 'alive']",Martin falls and breaks his leg.,From her window she could see all sorts of wildlife.,1
6399,"['curious', 'inquisitive']",Igor's son wanted to know what happened to a body at death.,She told Max that they weren't dating and that it was creepy.,0
6400,"['sad', 'mortified', 'responsible']",They made plans to go out again the following evening.,Unfortunately Mango's bar burned down afterward.,1
6401,"['nervous', 'joy', 'hungry']",The birds flew down and landed in her front yard.,There was no one to help her so she picked a different brand.,0
6402,"['awkward', 'powerful', 'suspicious', 'excited', 'nervous', 'anxious']",The ticket vendor measured Harry's height.,Martin enjoyed not having to do his homework.,0
6403,"['nervous', 'excited', 'flattered']",I love the band Metallica.,Kia was asked out on a date.,1
6404,"['frustrated', 'irritated', 'antagonistic', 'open-minded', 'lively']",Tom was more open to it over all.,"At the store, she tried hard to remember all the items on the list.",0
6405,"['disappointed', 'remorseful']",So he jogged for miles everyday.,Cara decided that she would need to return her books.,1
6406,"['disgust', 'good']",He sat on a bucket and put his line in.,She didn't think it smelled.,1
6407,"['horrible', 'angry']",Anita decided to burn down the bakery instead of see it fail.,Terrance drinks his pain away.,0
6408,"['sad', 'disappointing', 'wasteful', 'disappointed']",Gina was crying because she couldn't find her phone.,"Inside, most of the stuff was gone or strewn about.",1
6409,"['disappointed', 'sad', 'upset', 'annoyed', 'protective']","He worked a whole year, many hours a day.",Kim was very protective of her camera and said no.,1
6410,"['helpful', 'good', 'happy', 'welcomed', 'thankful', 'conflicted', 'warm', 'compassion', 'hesitant']",Alan's wife suggested that his brother live in the basement.,And decided to do so right on the show floor.,0
6411,['helpful'],His uncle helped him push the truck to safety.,I saw my friend outside his house.,0
6412,"['nervous', 'scared', 'distant']",She had a boyfriend named Alain,"After going to their house to check on their animals, I tried calling.",0
6413,"['glad', 'relaxed', 'calm', 'delightful', 'included']",I went on Skype to talk to my gaming friends.,"One day in class, her teacher went into labor.",0
6414,"['disappointed', 'unhappy', 'dissatisfied', 'sad', 'upset']","Frustrated, I honked at the car in the school zone.",Liz was upset they didn't have any vegetarian meals.,1
6415,"['happy', 'excited']",Timmy told a lie.,She poured some batter into the press and waited for it to cook.,1
6416,"['stupid', 'hopeful', 'determined']",Tommy was excited about getting a new puppy.,The next day she tried and walked out of her room.,1
6417,"['helpful', 'happy', 'relieved', 'surprised']",In the I only was able to buy mushrooms and tomatoes.,They both had a wonderful time at the play.,1
6418,"['happy', 'excited', 'surprised']",Their first wedding dance was a waltz.,One fell and shattered on the floor.,0
6419,"['happy', 'lucky', 'identical']",She dreamed of flying through space exploring.,Ursula had a twin sister.,1
6420,"['surprised', 'frustrated', 'hungry']","The tornado hit, but they were safe because of the cellar.",She ordered several items out of the menu.,1
6421,"['proud', 'content', 'successful']",She did not listen to me and wore her wings to school.,Nick was pleased with his new land.,1
6422,"['helpful', 'useful', 'grateful', 'relieved', 'pleased']",The team played well and won by five goals!,She was going to take the trolley but a coworker drove her there.,1
6423,"['diligent', 'determined']",Jay worked hard and listened well.,Fred then decided to always leave a note.,0
6424,"['tired', 'positive']","After rubbing them with the peel, she was able to fall right asleep.",Then he went to the store to buy a chess set.,0
6425,"['sad', 'dejected']",Kenneth fell into a big depression.,It had thrown up on the carpet.,0
6426,"['competitive', 'upset', 'conflicted']",Her friend wanted to be class president too.,So the next day Frank challenged Ron again.,0
6427,"['terrified', 'sad', 'worried', 'indifferent', 'surprised']",He forgot to give her his credit card for the return.,One day Bev hit a rock on the way down.,1
6428,"['restless', 'distressed', 'happy', 'tired', 'fatigued']",Cindy decided to take the kids to the park.,The caller said he was strong and could help Sam.,0
6429,['excited'],Hannah was taking a trip to Japan.,The worker's pondering was cut short by necessity.,0
6430,"['satisfied', 'thrilled', 'victorious', 'proud']","Eventually, Uki won the champion bodybuilding contest.",She needed to learn about her family history.,0
6431,"['proud', 'happy']","One day, Sally decided she wanted to make banana bread.",Cayla is now sporting a brand new haircut.,1
6432,"['hopeful', 'happy', 'famous']",She had about a dozen of them.,He liked being able to perform for crowds.,1
6433,"['worried', 'angry']",Sue had to save her jeans for weekends only.,So far nobody has touched the cup.,1
6434,"['unfocused', 'distracted', 'lost']",Andy went swimming on Tuesday.,She couldn't concentrate on her work.,1
6435,"['surprised', 'thinking', 'scared', 'startled', 'surprise', 'delighted', 'happy', 'overjoyed', 'excited']",On the way to school Billy stopped by the local convenience store.,They were walking quietly enough that they came across a deer.,1
6436,"['jealous', 'envious', 'desire']",All her friends got it done.,Lea was excited to go to her first football party today at Joe's.,0
6437,"['divided', 'annoyed', 'emotional']","One after another, Teddy kept watching.","As tensions mounted, it was decided that the group would split.",1
6438,"['happy', 'loving', 'friendly', 'warm', 'comforted']",In the end the road trip was an adventure to good to pass up.,She gave her a dog sweater.,1
6439,"['stressed', 'important', 'confused']",Ryan was so happy when the neighbor called to return his dog.,She got a call one night that was very difficult.,1
6440,"['scared', 'confused', 'worried']",It was based off a cartoon he watched.,She wasn't sure if she should stop at the top of the hill.,1
6441,['enlightened'],Josh broke up with his girlfriend.,Now I do not think they are weird.,1
6442,"['disappointed', 'depressed', 'upset']",He said he never had time to paint.,It suddenly started pouring down rain.,0
6443,"['content', 'free']",I asked him how it was being treated.,She continued going back for years after.,1
6444,"['depressed', 'sad', 'ashamed']",Jerry had no money and was living with his parents.,There were so many people on the bus it was hard to find a seat.,0
6445,"['eager', 'excited', 'determined', 'motivated']",He saw his chance with some terrorists.,Last weekend I grabbed my surfboard and went down to the beach.,0
6446,"['rushed', 'scared', 'fearful', 'determined', 'sad', 'frustrated', 'stressed']",Tina prepared ingredients to bake a cake.,He was living at his parents and they started charging him rent.,1
6447,"['surprised', 'shocked', 'unaware', 'malicious', 'ashamed']",So they called an exterminator and he came out to take a look.,"When she turned around, she found someone taking it.",1
6448,"['eager', 'tired', 'busy']",The first thing to do was mop the floor.,"However, it stained the table pink.",0
6449,"['expressive', 'competent', 'enamored']",He thought he didn't have anything to lose.,Jim wrote a glowing review of the event.,1
6450,"['joy', 'excited', 'confuse']",Ken spent many hours preparing the speech.,The photo of her face looking at Santa is priceless.,1
6451,"['love', 'nervous', 'joyful']",David spent all night writing a poem about Julie.,He was able to finish after working 3 hours overtime.,0
6452,"['curious', 'anticipation', 'excited']",That  mechanic did not replace seals.,Ed has always wanted to visit Las Vegas.,1
6453,"['apologetic', 'surprised', 'good', 'angry', 'relieved', 'happy']",She ran to a pavilion to avoid getting wet.,Gina's mood improved when she realized she found the culprit.,1
6454,"['sad', 'loved', 'torn', 'confuse', 'upset']",They were redefining their relationship.,A half hour later the scout was called back to give it again.,0
6455,"['content', 'happy', 'meticulous', 'disgusted', 'embarrassed', 'annoyed', 'exhausted']",Her aunt told her that she needed to wash her hands first.,His neighbor got a ladder out.,0
6456,"['excited', 'happy']",She is on it during class instead of paying attention.,Annie took a picture with her family and her boyfriend.,1
6457,"['indifferent', 'disappointed', 'bored']",Bill wasn't attracted to this woman at all.,The son got frustrated with his lack of skills.,0
6458,"['duped', 'deceived', 'jilted', 'surprised', 'pleased', 'triumphant', 'sneaky', 'regretful', 'foolish', 'betrayed', 'embarrassed']",The cat played in a field.,She actually was a great poker player.,1
6459,"['anticipation', 'joy', 'excited']",Gary could not wait for the day he got to jump out of a plane.,It was a typical day.,0
6460,"['proud', 'good', 'touched', 'happy', 'grateful', 'hungry', 'loved', 'satiated']",A group of people suddenly appeared and thanked me.,He pulled the dishwasher out of the box.,0
6461,"['social', 'joyful', 'connected']",I went to the bowling alley with a friend.,Bob could not find his cell phone.,0
6462,"['trust', 'proud', 'adventurous']",One day I decided to use my size to my advantage.,They were taken care of eventually but it was a crazy site.,0
6463,"['anger', 'annoyed']",I could not get my tub to drain.,He went to Miami.,0
6464,"['excited', 'creative', 'calm', 'excitement']",Ed and Emma were twins and wanted to have matching Halloween costumes.,Chuck blew away his competitors at the meet and won the gold medal.,0
6465,"['mesmerized', 'impressed', 'obligated', 'entertained']",The kid felt like he should reward the monkey for the entertainment.,It was a sweet gesture.,0
6466,"['rushed', 'indifferent', 'tired']",Mary was driving to work today.,The glaze on the chicken filled the whole house with smells.,0
6467,"['tense', 'excited']",He finally got the letter in the mail regarding his acceptance.,My first date was when i was eighteen years old.,0
6468,"['determined', 'content']",Elizabeth likes to read novels.,Tom was a boxer.,1
6469,"['upset', 'shocked']",The dumpster had not been emptied for a whole week.,My friend said he knew that would be the case.,0
6470,"['loved', 'lucky', 'connected', 'happy', 'excited', 'romantic']",So she went behind her mom's back to do it.,He told me that he's been thinking about a bonfire all day.,1
6471,"['unloved', 'lonely', 'sad']",She became a concert musician and never thought of the guy again.,Tom was old and living alone.,1
6472,"['happy', 'silly', 'angry', 'amused', 'indifferent', 'embarrassed', 'afraid']",Gina laughed at how silly Lisa was.,Sabrina wants to be internet famous.,0
6473,"['satisfied', 'overjoyed']",She went house hunting and found the perfect house.,"Feeling that he had sufficient knowledge, he decided to go for a ride.",0
6474,"['aggression', 'strong', 'terrified', 'horrified', 'fear']",So John studied hard.,Jen screamed at the top of her lungs.,1
6475,"['logical', 'unwavering', 'confident']",She was practical in everything she accomplished.,Angie liked going fast.,0
6476,['nervous'],"When she got her results, she looked.",She sewed her own wedding dress.,0
6477,"['flattered', 'happy', 'curious']",John was invited by a friend to meet for coffee.,I was able to play a few tunes.,0
6478,"['anxious', 'anticipation', 'worry']",I quickly took him to the hospital.,"I put all my information in, and then waited.",1
6479,"['scared', 'sadness', 'sad']",Teddy told the american people what they wanted to hear.,In 2011 I had a stroke and retired on disability.,1
6480,"['happy', 'positive']",His son enjoyed having him around.,Her stomach is very sensitive to foreign food.,0
6481,"['rushed', 'exhausted', 'nervous']",Kim ran to the store on her break at work.,We got divorced this year.,0
6482,"['excited', 'happy']",Alicia loved tattoos.,The neighbors had left their pet behind.,0
6483,"['gross', 'embarrassed']",Rihanna noticed that she had a large white head on her nose.,Johnny was happy with his bargain shopping.,0
6484,"['shame', 'nervous', 'embarrassed']",His brother had to stay at the hospital due to his illness.,Larry's wife was out and seen the two together.,1
6485,"['calm', 'relaxed', 'happy']",Tom woke up and went to work.,Sheila's entire attitude toward dentistry changed.,1
6486,"['happy', 'pleased']",After a whole day the caterpillar emerged a butterfly.,"One after another, Teddy kept watching.",1
6487,"['successful', 'accomplished', 'happy', 'ecstatic', 'jubilant']",They finished the treehouse within two weeks.,She took off running down the hall while waving the sock in the air.,0
6488,"['conflicted', 'dissatisfied']",It was a good forty bucks more for the longer one.,She made an announcement and the town enjoyed free ice cream day.,0
6489,"['proud', 'competent', 'patriotic']",Jamie was wearing a strapless dress to a wedding.,Zack voted.,1
6490,"['motivation', 'determined']","Midway through the meal, a wave lurched the ship and Jane's stomach.","Finally, he decided to practice until he could get it right.",1
6491,"['embarrassed', 'improved', 'annoyed']",Horace had always dreamed of owning his own coffee shop.,He got up the following morning and went to school.,1
6492,"['excited', 'satisfied', 'happy']",David can now whistle any tune almost perfectly.,Bill bought an aquarium.,1
6493,['fresh'],Allie tried to straighten her hair for the first time.,She got a bit sidetracked.,0
6494,"['hopeful', 'prepared', 'knowledgeable']","She always researched the best breeds, food, and toys.",She received her new car a week later and was happy.,0
6495,"['happy', 'excited']",It fit her like a glove.,He kept sucking his thumb.,0
6496,"['excited', 'ecstatic']","I spun the reels a few times, then hit the jackpot.",He didn't feel like doing too much work on a costume.,0
6497,"['interested', 'amazed', 'fascinated']","As Barry was going to look at them, he noticed them jumping.",The paramedics were certain it was the weirdest death they'd seen.,0
6498,"['happy', 'busy']",He had so much fun he forgot about the storm.,My neighbor's dog had been shitting all over my yard.,0
6499,"['embarrassed', 'annoyed', 'angry', 'hopeless', 'surprised']",She had the best recipe for a apple pie.,"After he scanned, he found out that his credit card is declined.",1
6500,"['frustrated', 'fear', 'remorseful']",Grandpa lifter her up to a big window.,Justin drove the speed limit for the rest of the way home.,1
6501,"['dumb', 'forgetful']",Xavier reached out to touch the fish.,Dan didn't remember to wash them off when he got home.,1
6502,"['afraid', 'terror', 'excited', 'happy', 'thrilled']",My daughter was explaining to me what God was.,He got it in its sights and pulled the trigger.,1
6503,"['grateful', 'happy', 'proud', 'thankful', 'satisfaction', 'loving', 'helpful']",Henry helped his mom decorate the house for Christmas.,I put it in the oven for twenty minutes.,0
6504,"['excited', 'pretty', 'nervous']",Kerri was about to go blonde for the first time.,Anna was astonished.,0
6505,"['jealous', 'excited', 'happy']",Kelly heard about Ella's New Year's party.,I decided to thank him with a heartfelt thank you note.,0
6506,"['cautious', 'uneasy']","I reached for the shelf on top of my brother, who's sleeping.",Dave wanted to dunk on his basketball hoop.,0
6507,"['nervous', 'undisciplined', 'awkward']",I was in a Wal-mart parking lot.,I chewed my pen at my desk.,1
6508,"['clumsy', 'embarrassed']",The gas started to overflow.,He decides he needs a good pair of gloves to keep his hands warm.,0
6509,"['joyous', 'adventurous', 'curious', 'surprised']",I could only get my legs in but it was a fun journey.,"She ordered sushi, which she never had before.",1
6510,"['rude', 'positive']",She is on it during class instead of paying attention.,They rode around the town.,0
6511,"['happy', 'special', 'delighted']",We spent so much time laughing and having fun.,Christian purchased insurance through Nationwide.,0
6512,"['annoyed', 'surprised']",Suddenly he noticed a gigantic fly buzzing around.,The anxiety affected him and he ended up performing poorly.,0
6513,"['guilty', 'embarrassed', 'neglectful', 'worried', 'disgusted', 'ashamed']",Delia's dental hygienist asked her whether she flossed.,The store was closed.,0
6514,"['sad', 'alone']","When she lost all her friends, she became very lonely.",Oliver spent the afternoon playing outside.,0
6515,"['excitement', 'calm']",Then on Christmas morning we had to find it.,Kelly suggested a compromise.,0
6516,"['happy', 'relaxed']",Jerry went fishing last Sunday.,He drove to work in the dark.,0
6517,"['anxious', 'afraid', 'nervous']",Judy was nervously filing her taxes.,A person offered his seat to Matt if he gave him $20.,0
6518,"['happy', 'satisfied', 'warm']",So it found it's family and they stayed together always!,"The cranes are out of her hand, and she enjoyed it very much.",0
6519,"['overjoyed', 'desire', 'excited']",The whole town bullied Megman after the critic's article was released.,Katie found a pink dress she loved.,1
6520,"['disappointed', 'sad', 'awed', 'dissatisfied', 'discouraged']",Until all of a sudden he started to scream!,Jack and Diane tried to follow it but they were not able to find him.,1
6521,"['violated', 'angry', 'famous']","When she played abroad, everyone just took pictures of her.",Yesterday Tina made a blueberry pie.,0
6522,['determined'],Woody went to the hen house to feed the chickens.,He wanted to get a big fur coat.,0
6523,"['happy', 'excited', 'proud']","When I realized that I didn't have my wallet, I panicked.",The kids brought the fish home and took care of it.,1
6524,"['depressed', 'sad', 'exhausted']",She contemplated quitting.,She and her husband soon found that she was pregnant.,0
6525,"['despondent', 'unhappy', 'downhearted']",She became really sad.,It was a brand new trampoline!,0
6526,"['elated', 'ecstatic', 'overjoyed', 'competent']",Ramona's book about history is now a best seller.,"After this, I plan to also start using an oral rinse every day.",0
6527,"['forgetful', 'stupid', 'silly']",Rachel decided that today would be a great day to fly a kite.,Jim realized he'd forgotten to update his website.,1
6528,"['eager', 'ambitious']",The police thanked her for her honesty by giving her a reward.,She was going to the school dance and wanted to look great.,1
6529,"['sad', 'embarrassment', 'hungry', 'disappointing', 'sadness', 'disappointed']",But they didn't have any chocolate.,She decided to major in history in college.,0
6530,"['disappointing', 'disgust', 'unsatisfied']",Kate hated vanilla.,"When he left jail, he was glad to have furthered his education!",0
6531,"['scared', 'tense', 'ashamed', 'guilty']",The man was clearly inebriated.,She bought the same type of dog a year later.,0
6532,"['loved', 'happy', 'love']",Ted responded by licking Jane's face.,She rushed to the hospital just in time.,0
6533,"['hopeful', 'nervous', 'excited']",Tom rented a vehicle.,Ted was just starting out college.,1
6534,"['accomplished', 'successful', 'proud', 'caught', 'regretful', 'ashamed']",Rico asks his father for a lesson in how to tie a necktie.,Brad was arrested for the crime and sent to jail.,1
6535,"['hopeful', 'busy']",He visited several department stores.,Dave had always wanted to go to Japan.,0
6536,"['accomplished', 'intelligent', 'proud', 'pride']",Roy rolled the best dough out of everyone he knew.,Russell got in trouble for telling a joke.,0
6537,"['afraid', 'sad']",Jimmy couldn't wait to go fishing.,Tom moved into a house that was very old.,1
6538,"['worried', 'annoyed', 'disappointed']",He won't be able to play football until he gets better.,It was extremely elegant with pearls and emeralds.,0
6539,"['happy', 'excited', 'anticipation']",Johnny packs his swimming trunks and bikes to the lake.,Francis mopped it diligently.,0
6540,"['disgusted', 'unworried', 'believed', 'sick', 'happy']",She explains to her roommate Jack that her date assaulted her.,He ate the steak.,1
6541,"['scared', 'panicked', 'frightened']",Dave was able to get back on the road in no time!,"His throat was starting to swell, and alarmed, he called 911.",1
6542,"['satisfied', 'accomplished', 'happy']",She'd just built her new house and it was her favorite feature.,Zack was happy to have voted.,0
6543,"['vindicated', 'annoyed', 'sad', 'unfair']",Brendan said tough nuggets.,"Suddenly, he heard a noise at his window.",0
6544,"['disappointed', 'embarrassed']",She had put salt instead of sugar.,He was drinking tea.,0
6545,"['excited', 'successful', 'confident', 'happy']",He was very proud of himself.,Then she curled up under it.,0
6546,"['sadness', 'upset', 'alarmed']",All of her ice cream was melting!,"It said a Macbook Pro was for sale, only three hundred dollars.",0
6547,"['happy', 'excited', 'elated', 'positive']",Their turn finally came.,Kerri was taken into a chair as the staff washed her hair.,0
6548,"['productive', 'accomplished', 'determined']",I returned home and set up the shed in my yard.,Fred's grandma from Italy came to visit.,0
6549,"['hopeful', 'happy']",Diesel had fun at the doggy park and knows he will go again.,"A car veered close to Roger, the driver was unaware on his phone.",0
6550,"['upset', 'doubtful', 'positive', 'scared', 'confident', 'surprised', 'unwelcome']",Kelly thought she was being a bad friend.,She hated it at first.,0
6551,"['startled', 'surprise', 'shocked']",Thankfully his team felt the same.,They braked suddenly and he was not prepared.,1
6552,"['relieved', 'hope']",They felt very privileged to be alive when they saw the destruction.,Suddenly he spotted a cruise ship coming towards him!,1
6553,"['sorry', 'disappointed', 'bad', 'apprehensive', 'sad']",She jumped out of a plane twice that day.,Ellie waited too long to sign up and there were very few spots left.,1
6554,"['anxious', 'excited']",Roan put his arm in a cast and skated away.,Tom was expecting an important call.,1
6555,"['intrigued', 'excited']",Anna saw a quarter on the ground.,Brad robbed a bank with a gun.,0
6556,"['annoyed', 'scared', 'anticipation']",Tom turned around and drove home.,"As a child, I always feared the monsters under my bed.",0
6557,"['strong', 'satisfied', 'accomplished']",Sam broke her wrist.,She made it into a routine and jogged everyday.,1
6558,['happy'],The attendee said we had to wear appropriate shoes.,They love cooking hotdogs and hamburgers at the park.,1
6559,"['nervous', 'worried', 'anxious']",I was afraid to submit it.,Taryn wanted to be the first woman baseball player.,0
6560,"['happy', 'productive', 'hungry']",She went shopping at the grocery store.,"However, we both enjoyed the time we spent with each other.",0
6561,"['anxious', 'excited', 'happy']",Allison was about to get to the airport for her trip.,Mary was relieved to have gotten away unscathed.,0
6562,"['excited', 'happy']",The man happily concluded charcoal is superior after eating the steak.,Cindy had a guy friend.,1
6563,"['relaxed', 'happy', 'cultured']",They decided to have a movie marathon.,It was a lovely experience I hope to recreate.,1
6564,"['sad', 'sentimental', 'satisfied']",She wanted to go back the next week.,Martin walked to the porch and sat on the old swing.,1
6565,"['accepted', 'sociable', 'joy', 'eager', 'happy']",He saw some friends in the sandbox and joined them.,The thrift store manager gave me a bag of clothes.,0
6566,"['confident', 'desire']",She went down to the pond and caught a nice big frog.,Lauren wanted to go to a party.,1
6567,"['nervous', 'sheepish', 'shy', 'pressured', 'helping', 'helpful']",The next morning she wakes up and realizes she has won the jackpot!,His friends encouraged Tim to talk to her.,1
6568,"['awestruck', 'amazed', 'accomplished', 'excited', 'strong']",The next day it made it's way out of the chrysalis.,Suzy really needed to pay off her credit card.,0
6569,"['happy', 'content', 'love', 'relaxed', 'peaceful', 'amazing', 'lost', 'caught']",The sky got overcast.,Both lost track of times.,1
6570,"['surprised', 'stupid']",In Hollywood he got his first job.,He patted his back pocket and frowned.,1
6571,"['curious', 'welcomed', 'happy', 'joy', 'awe', 'hopeful', 'resourceful', 'excited']",Then she found a really cute pair to wear.,He went to Walmart and bought some red balloons.,1
6572,['proud'],Elaine went for her first morning walk on Saturday.,Unfortunately my eyes started closing.,0
6573,"['friendly', 'concern', 'grateful', 'hopeful']",He decides he wants to adopt one.,He called his friend to help him drag it out.,1
6574,"['anxious', 'stressed', 'overwhelmed']",The birds flew down and landed in her front yard.,It was exam week in school and Wendy was stressed.,1
6575,"['worried', 'satisfied']",She knew she had an essay to write.,"He's way out in the country, and coyotes come around.",1
6576,"['jubilant', 'excited', 'happy']",The bank checked his credit and borrowing history.,She used it as an excuse to buy a new car.,1
6577,"['good', 'focused', 'overwhelmed']",We had a good meal.,James was busy at work.,1
6578,"['down', 'sad', 'pained', 'stressed']",They raided the fridge and watched shows her parents wouldn't allow.,He had to stay at the hospital for a few hours.,1
6579,"['curious', 'excited', 'pleased']",His family was going on a vacation to a famous site.,She was happy that she had finally learned to play the flute.,0
6580,"['sad', 'ashamed']",Bella was patient and well-behaved the entire time.,Zoe failed her quiz.,1
6581,"['okay', 'irritated', 'calm']",I was invited to a halloween party for this weekend.,Benny was asked a question by a customer one afternoon.,1
6582,['sleepy'],Erin was getting tired.,"My cats, naturally, completely ignored my hard work to sleep elsewhere.",0
6583,"['determined', 'resigned', 'stressed']",But he knew it would be worse without money.,His mom came into his room to check on him.,0
6584,['satisfied'],She paid for her drink and started sipping it.,We both remembered watching it as kids.,0
6585,"['nervous', 'depressed', 'panicked']",They would watch all The Hunger Games movies back to back.,"Since she studied for a different chapter, she barely knew anything.",1
6586,"['irresponsible', 'guilty', 'sorry']",Luckily at the last minute she found one for sale and she got in.,She also got a ticket because of that as well.,1
6587,"['eager', 'adventurous', 'excited', 'anticipation']",They cleaned it up and took it home.,They packed up and brought the camper so they could stay the night.,1
6588,"['distraught', 'sad', 'enraged', 'disappointed', 'upset']",Unfortunately Tom lost the memory card.,I picked some up yesterday.,0
6589,"['sick', 'worried', 'amused']",Ben took the plate away.,He was amazed at how good of a kisser I had become.,0
6590,"['grateful', 'thankful', 'sick']",Tyler is starting school at a nearby university today.,She helped Gina manage her sunburns.,1
6591,"['angry', 'ugly', 'frustrated']","When the game started, the opponents ran towards him.",Tammy hated all her bras.,1
6592,"['pride', 'happy', 'special', 'loved']",And he ended up earning decent money.,She put them in a vase with water.,1
6593,"['grateful', 'proud', 'generous']",Finally they were finished making my pool after a week.,Tom donated all of his big-sized clothes to the donation center.,1
6594,"['mortified', 'embarrassed']",They went to a nice restaurant instead and had a great time.,It was an embarrassing experience.,1
6595,"['confused', 'upset', 'embarrassed', 'poor', 'curious']",I had decided to play her a song.,All day everyone was laughing at him and he did not know why.,1
6596,"['fearful', 'scared', 'fear', 'afraid', 'anxious', 'petrified', 'frightened']",She saw a bear.,This made Anna feel a lot better about her own situation.,0
6597,"['determined', 'accomplished']",Red serves in the army and never looks back.,Lori's teacher said anyone who refused would fail the class.,0
6598,"['guilty', 'relieved', 'furious']",Tom was fired from the set.,It took him weeks to buy a new one.,1
6599,"['tired', 'competitive', 'adventurous', 'exhilarated', 'joyful', 'happy']",She got to pick the flavor yogurt she wanted.,Tay and his friends were racing bikes.,1
6600,"['sadness', 'sad']",But the sink in the basement wouldn't drain.,She died without talking to her daughter.,1
6601,"['upset', 'defeated', 'injured', 'frustrated', 'disappointed', 'happy', 'excited', 'determined']",When Tom went back everything was missing.,Unfortunately within minutes we were overrun by ants.,1
6602,"['thrilled', 'happy', 'proud']",Francis was proud of his work.,Martha was suppose to pick up her daughter from school.,0
6603,"['pleasant', 'tolerant', 'stoic', 'patient']","When it was time to taste, I was disgusted.",Bella was patient and well-behaved the entire time.,1
6604,"['relieved', 'mundane']",I brushed my teeth.,"However, he has been too shy to meet a woman.",0
6605,"['satisfied', 'accomplished']",I refiled my plans in court.,She constantly would look up pictures of them.,0
6606,"['excited', 'happy', 'excitement', 'nervous', 'hesitant', 'positive', 'joyous']",Her parents opened the door to their room.,After a month Drew realized he was very lonely.,0
6607,"['safe', 'competent', 'satisfied']",Carlos calmed down.,Aly regularly babysat a two year old.,1
6608,"['sad', 'detestable']",It was too strong for her.,Victor became extremely depressed and wore a hat for the next 3 months.,1
6609,"['surprised', 'down', 'curiosity', 'wary']",Tom finally found it.,"I moved closer, calling and clicking my tongue.",1
6610,"['confuse', 'drunk', 'shame', 'embarrassment', 'sad']",Cathy was on a diet.,Tim drank more than he could handle.,1
6611,"['relieved', 'happy', 'satisfied', 'safe', 'terrified', 'lucky']",Nathan ends up in massive debt.,He is relieved that it wasn't harmed.,1
6612,"['excited', 'happy', 'hopeful']",Rebecca falls to the ground so hard it breaks her tooth.,They were so excited.,1
6613,"['anticipation', 'happy', 'guilty', 'betrayed', 'interested', 'content']",Hank enjoys a busy day of selling propane and propane accessories.,"He was ok with it, and completely believed us.",1
6614,"['distracted', 'annoyed', 'entitled', 'mad']",There was a woman and her cart in the middle of the aisle.,"Villanova, Oklahoma, Syracuse, and 'Carolina are this year's final 4.",0
6615,"['apologetic', 'frustration', 'disappointed', 'annoyed', 'frustrated']",Jerome enjoyed watching his favorite movies on his new television.,He was still losing the glasses though.,1
6616,"['interested', 'excited', 'anxious', 'apprehensive']",She hoped there would be enough wind to fly it.,Karen was excited to go to her very first Lakers game.,0
6617,"['helpful', 'proud', 'fulfilled', 'accomplished']",Conan loved his new job and show.,He thought he would never be able to play it.,0
6618,"['fear', 'upset', 'afraid']",He did not go down in the basement.,But she couldn't afford the expensive store prices!,0
6619,"['disappointment', 'deceptive', 'kind', 'pretension', 'faking', 'embarrassed', 'loved']",The daughter got mad.,"She didn't like it at all, but she pretended she did.",1
6620,"['conflicted', 'anxious', 'worried', 'stressed', 'indecisive']",I agonized over what sized u-haul to rent.,Now my dog is dead.,0
6621,"['happy', 'industrious', 'determined', 'hopeful']",One day I decided I wanted to become a professional baseball player.,"A young lady was walking around campus, selling chocolate.",1
6622,"['embarrassed', 'worried', 'nervous', 'uptight']",He learned about streaming video games and letting people watch.,She had to take an acoustical physics class for her degree.,1
6623,"['worried', 'upset']",Thompson was always afraid of crocodiles.,His dog is too fast and runs off.,1
6624,['confused'],My friend Zach decided to take us to a race track.,"However, he did not understand at all.",1
6625,"['joyful', 'happy', 'excited']",Allan has ideas.,"When he got close, he jumped into the middle.",1
6626,"['hopeful', 'excited']",This year I am going to plant wheat.,His seven year old daughter started crying.,0
6627,"['hurt', 'annoyed', 'frustrated', 'surprised', 'informative', 'guilty', 'apologetic']",Kevin was preparing for a marathon.,Josh asked his wife not to put the knives in the sink.,1
6628,"['stupid', 'anxious']",He was supposed to go on a date and didn't want to cancel.,She shortly put the sod down on watered soil.,0
6629,"['confused', 'nervous', 'excited', 'sad', 'worried']",He saw a dog on the side of the road.,Unfortunately we do not speak Spanish.,0
6630,"['disappointed', 'annoyed']",All I can find are actual normal chef hats.,Her brother told on her.,0
6631,"['eager', 'excited']","He decided to visit Germany, so he bought a train ticket there.",When she came back she saw a huge fly in her eggs.,0
6632,"['ecstatic', 'free']",He thought he would never be able to play it.,She was dancing and singing along to the music.,1
6633,"['happy', 'determined', 'joyous']",Every day he would get in the water with them.,He was very happy and I went on to cast the tournament!,0
6634,"['hurt', 'heartbroken', 'betrayed']",She could run around outside in the cold.,I felt like running away.,1
6635,"['anger', 'helping', 'angry', 'sad', 'annoyed', 'frustrated', 'aggravated']",Fred loves to relax after work.,And they could never find a compromise for anything.,1
6636,"['satisfied', 'happy', 'glad']",Hours passed but I did eventually make something usable.,Andrew was glad to see the tree growing in his backyard.,1
